;Windows;DOS;Mac OS X;Linux;BSD;Other Unix;AmigaOS;Android;Windows Mobile;Windows Phone;
7-Zip;{{yes}}{{Ref label|os-7zip-1|1}};{{partial|Command-line interface}}{{Ref label|os-7zip-2|2}};{{yes}}{{Ref label|os-7zip-2|2}};{{yes}}{{Ref label|os-7zip-2|2}};{{partial|Command-line interface}}{{Ref label|os-7zip-2|2}};{{partial|Command-line interface}}{{Ref label|os-7zip-2|2}};{{partial|Command-line interface}}{{Ref label|os-7zip-4|4}};{{no}};{{yes}};{{no}};
ALZip;{{yes}};{{partial|Command-line interface}}[11];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
ALZip for Mac;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Archive Manager;{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Archive Utility;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Ark;{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
B1 Free Archiver;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};
BetterZip;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
bsdtar/libarchive;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial}};{{unk}};{{unk}};{{no}};
Commander One;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
CRAX Commander;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Disk ARchiver;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Filzip;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
FreeArc;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
GNU tar;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
iArchiver;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{unk}};{{unk}};{{dunno}};
Info-ZIP;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}}{{Ref label|os-infozip-1|8}};{{no}};
KGB Archiver;{{yes}}{{Ref label|os-KGBArchiver|7}};{{partial}};{{partial|Command-line interface}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{unk}};{{dunno}};
PeaZip;{{yes}}{{Ref label|os-7zip-1|1}};{{unk}};{{partial|Under Development[12] }};{{yes}};{{yes}};{{no}};{{no}};{{unk}};{{unk}};{{dunno}};
PKZIP;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{unk}};{{unk}};{{dunno}};
PowerArchiver;{{yes}};{{unk}};{{partial|Command-line interface}};{{no}};{{no}};{{no}};{{no}};{{unk}};{{unk}};{{dunno}};
Star;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{dunno}};
StuffIt;{{yes}};{{unk}};{{yes}};{{partial|X86 only, older version (5.2.0?)}};{{no}};{{partial|older version (5.2.0?)}};{{no}};{{unk}};{{unk}};{{dunno}};
The Unarchiver;{{partial|Command-line interface}};{{no}};{{yes}};{{partial|Command-line interface}};{{no}};{{no}};{{no}};{{unk}};{{no}};{{dunno}};
TUGZip;{{yes}};{{unk}};{{no}};{{no}};{{no}};{{no}};{{no}};{{unk}};{{unk}};{{dunno}};
WinAce;{{yes}};{{partial|Command-line interface}}{{Ref label|os-winace|5}};{{partial|Command-line interface expander only}}{{Ref label|os-winace|5}};{{partial|X86, Command-line interface expander only}}{{Ref label|os-winace|5}};{{no}};{{no}};{{partial|Command-line interface expander only}};{{unk}};{{unk}};{{dunno}};
WinRAR and RAR;{{yes}}{{Ref label|os-7zip-1|1}};{{yes}};{{partial|Command-line interface}}{{Ref label|os-winrar|6}};{{partial|X86 and x86-64, Command-line interface}}{{Ref label|os-winrar|6}};{{partial|Command-line interface}}{{Ref label|os-winrar|6}};{{partial|Command-line interface}}{{Ref label|os-winrar|6}};{{partial|Command-line interface expander only}};{{yes}}[13];{{yes}};{{dunno}};
WinZip;{{yes}}{{Ref label|os-7zip-1|1}};{{partial|Command-line interface}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{unk}};{{dunno}};
XAD;{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{unk}};{{unk}};{{dunno}};
Xarchiver;{{no}};{{no}};{{no}};{{yes}};{{yes}};{{unk}};{{unk}};{{unk}};{{unk}};{{dunno}};
ZipGenius;{{yes}};{{unk}};{{no}};{{no}};{{no}};{{no}};{{no}};{{unk}};{{unk}};{{dunno}};
! Windows;DOS;Mac OS X;Linux;BSD;Unix;AmigaOS;Android;Windows Mobile;Windows Phone;
