;Standalone executables creation support;Symbolic computation support;OOP support;GUI creation support;Multi-dimensional arrays as primitive data type;Centralized extension library website;Can call code in other languages;Can be called from other languages;
Analytica;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|}}COM, Excel;{{yes|}}Excel, COM, .NET;
Dyalog APL;{{yes}}[8];{{yes}};{{yes}}[9];{{yes|}}Win32, .NET, WPF, HTML/JS;{{yes}};{{yes}};{{yes|}}COM, .NET, WebServices, Shared Libraries, DLLs, NAG, R, JavaScript[10];{{yes|}}COM, .NET, WebServices[10];
GNU Data Language;{{no}};{{no}};{{yes}};{{Depends|}} GUI Widgets since v.0.9 but still incomplete;{{yes}};{{no}};{{yes|}}C, Python;{{yes|}}Python;
GNU MCSim;{{yes}};{{no}};{{no}};{{Depends|}} XMCSim with TCL/TK and wish;{{no}};{{no}};{{yes|}}C;{{yes|}}R;
GNU Octave;{{Yes}} with mkoctfile;{{Depends|}} only with GiNaC extension;{{yes}}[11];{{Depends|GUI Octave code can be used}}[12];{{Yes}};{{Yes}}[13];{{Depends|}}C++, Fortran,[14] Perl,[15] Tcl[16];{{Depends|}}Java,[17] Perl,[15] C++[18];
J;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|}}JavaScript;{{yes|}}JavaScript;
Julia;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|}}C, Fortran {{no|}}Python, C++, Java, MATLAB;{{yes|}}C, Fortran;{{no|}}Python, C++, Java, MATLAB;{{yes|}}C/C++;
{{yes|}}C, Fortran;
{{no|}}Python, C++, Java, MATLAB;
LabVIEW;{{Yes|Professional System version}} {{Depends|With add-on}}[19];{{Yes|Professional System version}};{{Depends|With add-on}}[19];{{No}};{{Yes}}[20] {{Depends|GOOP}}[21] {{No|G#}}[22];{{Yes}}[20];{{Depends|GOOP}}[21];{{No|G#}}[22];{{Yes}};{{Yes}};{{Yes}}[23];{{Yes|}}C/C++,[24] DLLs, Python,[25] Perl, Tcl,[26] MATLAB, ActiveX, C#/.NET {{No|With add-ons. I.e.}}[27];{{Yes|}}C/C++,[24] DLLs, Python,[25] Perl, Tcl,[26] MATLAB, ActiveX, C#/.NET;{{No|With add-ons. I.e.}}[27];{{Yes}}[28];
{{Yes|Professional System version}};
{{Depends|With add-on}}[19];
{{Yes}}[20];
{{Depends|GOOP}}[21];
{{No|G#}}[22];
{{Yes|}}C/C++,[24] DLLs, Python,[25] Perl, Tcl,[26] MATLAB, ActiveX, C#/.NET;
{{No|With add-ons. I.e.}}[27];
Maple;{{no}};{{yes}};{{yes}}[29];{{yes}};{{yes}};{{yes}}[30];{{yes|}}C, C#, Fortran;{{Depends|}} MATLAB,[31] Excel,[32] VisualBasic, Java, and C[33];
Mathematica;{{yes}}[34];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[35];{{yes|}}Java, .NET, C++, Fortran, CUDA, OpenCL, R, Python;{{yes|}}Java, .NET, C++ {{depends|}}Excel,[36] LabVIEW[37] {{no|}}Haskell,[38] AppleScript,[39] Racket,[40] Visual Basic,[41] Python[42][43]Clojure[44] MATLAB[45];{{yes|}}Java, .NET, C++;{{depends|}}Excel,[36] LabVIEW[37];{{no|}}Haskell,[38] AppleScript,[39] Racket,[40] Visual Basic,[41] Python[42][43]Clojure[44] MATLAB[45];
{{yes|}}Java, .NET, C++;
{{depends|}}Excel,[36] LabVIEW[37];
{{no|}}Haskell,[38] AppleScript,[39] Racket,[40] Visual Basic,[41] Python[42][43]Clojure[44] MATLAB[45];
MATLAB;{{Depends|with extension}}[46];{{Depends|}}with extension library[47];{{yes}}[48];{{yes}};{{yes}};{{yes}}[49];{{yes|}} Through MEX[50] files: C, C++, Fortran. Also compiled Java and ActiveX components. {{no|}}Mathematica[45];{{yes|}} Through MEX[50] files: C, C++, Fortran. Also compiled Java and ActiveX components.;{{no|}}Mathematica[45];{{Depends|}}.NET,[51] Java,[52] Excel[53];
{{yes|}} Through MEX[50] files: C, C++, Fortran. Also compiled Java and ActiveX components.;
{{no|}}Mathematica[45];
MLAB;{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
PDL;{{yes}}[54];{{no}};{{yes}}[55];{{yes}}[56];{{yes}};{{yes}}[57];{{yes|}}C via perlXS; C, Python, F77, etc. via Inline;{{yes|}}Perl, C[58];
