Name;Connectivity;OS compatibility;Integrated software;Protocol compliancy;
USB;Wi-Fi;Bluetooth;Linux;| Macintosh;Windows;MSC;MTP;
Mini-B port;2.0;Mac OS X;Vista;XP;2000;9x;
Archos 105;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{n/a|WMP through MTP}};{{yes}};{{yes}};
Archos 405;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{n/a|WMP through MTP}};{{yes}};{{yes}};
Archos 5;{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes2}}Me;{{n/a|WMP through MTP}};{{yes}};{{yes}};
Archos 605 WiFi / GPS;{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{n/a|WMP through MTP}};{{yes}};{{yes}};
Archos 705 WiFi;{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{n/a|WMP through MTP}};{{yes}};{{yes}};
Cowon A3;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes2}}Me;jetAudio;{{yes}};{{yes}};
Cowon D2;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};jetAudio;{{yes}};{{yes}};
Cowon Q5W;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes2}}Me;jetAudio;{{yes}};{{yes}};
Gigabeat T400;{{yes}};{{yes}};{{no}};{{no}};{{yes2}}No[87];{{no}};{{yes}};{{yes}};{{no}};{{no}};{{n/a|WMP through MTP}};{{no}};{{yes}};
GP2X F-200;{{unk}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{n/a}};{{n/a}};{{n/a}};
iPod classic;{{no}};{{yes}};{{no}};{{no}};{{yes2}}No[88];{{yes}};{{yes}};{{yes}};{{yes}};{{no}};iTunes;{{no}};{{no}};
iPod nano 4G;{{no}};{{yes}};{{no}};{{no}};{{yes2}}No[88];{{yes}};{{yes}};{{yes}};{{yes}};{{no}};iTunes;{{no}};{{no}};
iPod touch 1G;{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};iTunes;{{no}};{{no}};
iPod touch 2G - 5G;{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};iTunes;{{no}};{{no}};
iriver clix 2G;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};iriver plus Rhapsody[89];{{yes}};{{yes}};
PSP Slim & Lite;{{yes}};{{yes}};{{yes}};PSP Go only;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};Media Go;{{yes}};{{no}};
Samsung Galaxy Player;{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{n/a|WMP through MTP}};{{no}};{{yes}};
Samsung T10;{{yes}};{{yes}};{{no}};{{yes}};{{yes2}}No[87];{{no}};{{yes}};{{yes}};{{no}};{{no}};EmoDio;{{no}};{{yes}};
Samsung P2;{{yes}};{{yes}};{{no}};{{yes}};{{yes2}}No[87];{{no}};{{yes}};{{yes}};{{no}};{{no}};EmoDio;{{yes}};{{yes}};
Sansa Fuze;{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};MSC;{{n/a|WMP through MTP}};{{yes}};{{yes}};
Sansa Fuze+;{{no|micro B}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};MSC;{{n/a|WMP through MTP}};{{yes}};{{yes}};
Walkman NWZ-A810 series;{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{n/a|WMP through MTP}};{{yes}};{{yes}};
ZEN;{{yes}};{{yes}};{{no}};{{no}};{{yes2}}No[87];{{no}};{{yes}};{{yes}};{{no}};{{no}};Creative MediaSource;{{no}};{{yes}};
ZEN Vision W;{{yes}};{{yes}};{{no}};{{no}};{{yes2}}No[87];{{no}};{{yes}};{{yes}};{{no}};{{no}};Creative MediaSource;{{no}};{{yes}};
Zune;{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};Zune Software;{{no}};{{yes}};
ZVUE 260;{{unk}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};ZAPP;{{no}};{{no}};
