;Creator;Latest stable version;Software license;Open source;Programming language;Plugin support;
Alfred;Running with Crayons;3.0.3;Proprietary;{{no}};Objective-C;{{yes}};
Butler;Peter Maurer;4.1.6;Proprietary;{{no}};Objective-C;{{yes}};
DragThing;James Thomson;5.9.11;Proprietary;{{no}};C++;{{yes}};
LaunchBar;Objective Development;6.9.5;Proprietary;{{no}};Objective-C;{{yes}};
Quicksilver;Blacktree Software;1.3.4;Apache License;{{yes}};Objective-C;{{yes}};
