BitTorrent library;First public release date;Latest stable;Software license;
libtorrent (Rasterbar);{{start date and age|df=yes|2005|09|08}}[94];{{Latest stable software release/libtorrent}};{{free|Free software}};
MonoTorrent;{{start date and age|df=yes|2006|09}};{{Latest stable release/MonoTorrent}};{{free|Free software}};
rTorrent (libTorrent Rakshasa);{{start date and age|df=yes|2004|07|15}}[95];{{Latest stable software release/rTorrent}};{{free|Free software}};
BitTorrent library;First public release date;Latest stable;Software license;
