;Creator;Latest release date;Current stable version;Programming language;License;
bbPress[1];WordPress Foundation;2017-09-12;2.5.14;PHP[2];GPL[3];
Beehive Forum[4];Project Beehive Forum Developers;2016-11-05;1.5.2;PHP;GPL;
Discourse[5];Civilized Discourse Construction Kit, Inc.;2018-09-14;2.1.1;Ruby, JavaScript;GPL;
Discuz![6];Comsenz Inc.;2018-01-01;X3.4;PHP;Discuz! EULA (proprietary, gratis for non-commercial use);
FluxBB[7];FluxBB.org Developers;2016-06-16;1.5.10;PHP;GPL;
FUDforum[8];Advanced Internet Designs Inc.;2018-04-09;3.0.9;PHP;GPL;
Ikonboard[9];Matt Mecham (original creator) Joshua Johnson;2012-10-19;3.1.5A;Perl;Proprietary;
Invision Power Board[10];Invision Power Services Inc.;2018-08-08;4.3.5;PHP;Proprietary;
MyBB[11];MyBB Group;2018-08-22;1.8.18;PHP;LGPL, moving to BSD in 2.0[12];
Phorum[13];Brian Moon;2017-08-23;5.2.23;PHP;Phorum License 2 (BSD like);
phpBB[14];phpBB Ltd.;2018-09-13;3.2.3;PHP;GPL;
PunBB[15];PunBB;2015-10-14;1.4.4;PHP;GPL;
Simple Machines Forum[16];Simple Machines;2017-11-19[17];2.0.15[17];PHP;BSD License;
Syndie[18];Anonymous (related to I2P);2014-08-14;1.107b;Java;Open source, multiple licenses;
UBB.threads[19];UBB Systems, LLC;2018-09-18;7.6.2;PHP;Proprietary;
Vanilla Forums[20];Vanilla Forums;2018-05-14;2.6.0;PHP;Proprietary/GPL[21];
vBulletin[22];vBulletin Solutions Inc.;2018-06-4;5.4.3;PHP[23];Proprietary[24];
Thredded[25];Joel Oliveira, Gleb Mazovetskiy, et al.;2018-10-21;0.16.1;Ruby;MIT;
XenForo;XenForo Limited, Kier Darby, Mike Sullivan.;2018-09-11;2.0.10;PHP[26];Proprietary;
!Creator;Latest release date;Current stable version;Programming language;License;
