Client;POP3 fetch all messages;POP3 selected by filter;POP3 selected by user;IMAP4;SMTP;NNTP;LDAP v2;LDAP v3;EWS;IPv6;MAPI;
Alpine;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};
Becky! Internet Mail;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} {{r|group=Note|BECKY_frnews}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Citadel;{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Claws Mail;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};
Cone;{{yes}};{{no}};{{no}} {{r|group=Note|conePOP3}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
Courier;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
Elm;{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
eM Client;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};
EmailTray;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Eureka Email;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Evolution;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};plug-in;{{dunno}};plug-in;
Gnus;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
GroupWise;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
Hiri;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
i.Scribe / InScribe;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}} {{r|group=Note|plugin}};{{yes}} {{r|group=Note|plugin}};{{no}};{{no}};{{yes}};
IBM Notes;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};
KMail;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}} {{r|group=Note|KDENNTP}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Mailbird;{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};
Mailpile;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Microsoft Entourage;{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{partial}};{{dunno}};{{dunno}};
Microsoft Entourage 2008, Web Services Edition;{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};
Microsoft Office Outlook;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};
Mozilla Mail & Newsgroups;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Mozilla Thunderbird;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{partial}};{{partial}}[9];extensible[10];{{yes}};{{dunno}};
Mulberry;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};
Mutt;{{yes}};No (possible with POP3 browser);No (possible with POP3 browser);{{yes}};{{yes}};{{no}} (slrn looks alike);{{partial}} (resolve real names through NSS);{{dunno}};{{dunno}};{{yes}};{{dunno}};
Netscape Messenger;{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Netscape Messenger 9;{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
nmh / MH;{{yes}};{{dunno}};{{dunno}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{no}};
Opera Mail;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{yes}};{{yes}};
Outlook Express;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{dunno}};{{no}};
