;Trident;Gecko;WebKit;KHTML;Presto;Prince XML;Antenna House;
XML namespace[1];{{yes|5.0}};{{yes|1.0}};{{Dunno}};{{yes}};{{yes|1.0}};rowspan="2" {{yes|5.1}};{{yes}};
xml:id[2];{{no}};{{no}}[3];{{no}};{{no}};{{yes|2.0}};{{yes}};
XML Events[4];{{no}};{{yes|1.8}};{{Dunno}};{{Dunno}};{{yes|1.0}};{{Dunno}};{{no}};
XInclude[5];{{yes|3.1}};{{no}}[6];{{no}};{{Dunno}};{{no}};{{yes|5.1}};{{no}};
XML Fragment Interchange[7];{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{Dunno}};{{no}};
Associating CSS;{{IE|5.0}};{{yes|1.0}};{{yes|419}};{{yes}};{{yes|1.0}};{{yes}};{{yes}};
