Distribution;Founder;Maintainer;Initial release year;Current stable version;Security updates (years);Release date;System distribution commitment;Forked from;Target audience;Cost;Status;
Gentoo Linux;Daniel Robbins;Gentoo Foundation, Inc.;{{date|2002|iso}};Rolling;Rolling;{{dunno}};{{Partial|Gentoo Social Contract}};–;general;{{Free|Gratis}};{{site active}};
Guix System Distribution;Ludovic Courtès;Ludovic Courtès, Ricardo Wurmus, the Guix community;{{date|2012|iso}};0.16.0;Rolling;{{date|2018-07-06|iso}}[15];{{Free|100% Free: GNU FSDG}};–;general;{{Free|Gratis}};{{site active}};
gNewSense;Brian Brazil and Paul O'Malley;Sam Geeraerts with sponsorship from the FSF;{{date|2006|iso}};4.0 (Ucclia);{{dunno}};{{date|2016-05-02|iso}}[16];{{Free|100% Free: GNU FSDG}};Debian;general, server;{{Free|Gratis}};{{site active}};
gnuLinEx;Regional Government of Extremadura;dev team;{{date|2002|iso}};LinEx 2013;{{dunno}};{{date|2013-02-11|iso}};{{Proprietary|X}};Debian;desktop;{{Free|Gratis}};{{site inactive}};
Grml;Michael Prokop;The Grml Team;{{date|2005|iso}};2017.05;{{dunno}};{{date|2017-05-31|iso}};{{Proprietary|X}};Debian;live, maintenance, security, network, forensic, accessibility;{{Free|Gratis}};{{site active}};
Hyperbola GNU/Linux-libre;Hyperbola Founders;Hyperbola Founders;{{date|2017|iso}};0.2.5[17];3 years (stable), 5 years (old stable)[18];{{date|2018-11-01|iso}};{{free|100% Free: GNU FSDG followed in Hyperbola Social Contract}};Arch Linux;general;{{free|Gratis}};{{site active}};
Instant WebKiosk;Marco Buratto;Binary Emotions;{{date|2012|iso}};16.0;{{dunno}};{{date|2017-04-05|iso}}[19];{{Proprietary|X}};Debian;web kiosks, digital signage, personal web navigation;{{free|Gratis}};{{site active}};
Kali Linux;Max Moser, Mati Aharoni, Martin J. Muench;Offensive Security;{{date|2013|iso}};2018.1;{{dunno}};{{date|2018-02-06|iso}}[20];{{Proprietary|X}};Debian;auditing, forensic, security, network;{{Free|Gratis}};{{site active}};
Knoppix;Klaus Knopper;dev team;{{date|2000|iso}};8.1;{{dunno}};{{date| 2017-09-27|iso}}[21];{{Proprietary|X}};Debian;live;{{Free|Gratis}};{{site active}};
Kodibuntu;The XBMC Project;Team Kodi;{{date|2008|iso}};{{dunno}};{{dunno}};{{dunno}};{{Proprietary|X}};Debian, Ubuntu;multimedia;{{Free|Gratis}};{{site active}};
Korora;Chris Smart;Dev Team;{{date|2005|iso}};26;{{dunno}};{{date|2017-09-16|iso}}[22];{{Proprietary|X}};Fedora;desktop;{{Free|Gratis}};{{site active}};
LibreCMC;LibreCMC team;LibreCMC team;{{date|2010|iso}};1.4.2;{{dunno}};{{date|2017-12-31|iso}};{{Free|100% Free: GNU FSDG}};Merged from LibreWRT;embedded systems;{{Free|Gratis}};{{site active}};
Linspire;Linspire, Inc.;Linspire, Inc.;{{Date|2001|iso}};7.0;{{dunno}};{{date|2018-1-1|iso}};{{Proprietary|X}};Ubuntu;{{dunno}};{{no|Commercial}}[23];{{site active}};
Linux Mint;Clement Lefebvre;dev team;{{date|2006|iso}};18.3;~3 years (LMDE); 5 years (main editions);{{date|2017-11-27|iso}};{{Proprietary|X}};Debian, Ubuntu;desktop;{{Free|Gratis}};{{site active}};
Linux Lite;Jerry Bezencon;Linux Lite Team;2012;3.8;{{dunno}};2017-02-01;{{Proprietary|X}};Ubuntu;desktop;{{Free|Gratis}};{{site active}};
Mageia;Mageia Community;mageia.org;{{date|2010|iso}};6;1;{{date|2017-07-16|iso}}[24];{{Proprietary|X}};Mandriva Linux;general;{{Free|Gratis}};{{site active}};
Mandriva Linux;Mandrakesoft S.A.;Mandriva S.A.;{{date|1998|iso}};2011;{{dunno}};{{date| 2011-08-28|iso}};{{Proprietary|X}};Red Hat Linux;general;{{Partial|Some editions are gratis}};{{site inactive}};
Manjaro Linux;Roland Singer;dev team;{{date|2012|iso}}[25];Rolling;Rolling;Rolling;{{Proprietary|X}};Arch Linux;general;{{Free|Gratis}};{{site active}};
