Client;Message file format;Encrypted database;Virtual folders;Scheduled backup;New mail notification;Customizable interface;Customizable keybindings;Fragmented messages {{r|group=Note|FragmentedMessages}};Database search with regular expressions support;Indexed search;Search folders {{r|group=Note|Searchfolders}};IMAP;
ticker;tray icon;tooltip;sound;Search;IDLE;
Alpine;mbox, mbx, MIX, maildir (with patches), MMDF, tenex, mtx, MH, mx, news, phile;{{dunno}};{{yes}};{{partial}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{no}};{{dunno}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};
Becky! Internet Mail;mbox;{{dunno}};{{dunno}};{{no}};{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};
Citadel;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Claws Mail;MH, mbox (plugin);{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{yes}};{{no}};
Cone;mbox, maildir;{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}} (colors);{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};
Courier;Proprietary;{{yes}} (weak);{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}} (layout);{{no}};{{dunno}};{{no}};{{no}};{{yes}};{{no}};{{yes}};
Elm;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
eM Client;Proprietary (sqlite);{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};
EmailTray;Proprietary;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};
Eudora;modified mbox;{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} {{Specify|date=January 2007}};{{yes}};{{yes}};{{yes}};{{dunno}};
