Name;Language;WMS;WFS;GeoRSS;Other;
OpenLayers;JavaScript;{{Yes}};{{Yes}};{{Yes}};support for navigation, icons, markers, and layer selection.;
Leaflet;JavaScript;{{Yes}}[2];{{Yes}};{{No}};support for navigation, icons, markers, layers, GeoJSON;
MapDotNet;JavaScript/HTML5;{{Yes}};{{Yes}};{{Yes}};digitizing, wkt rendering, draggable icons and content, geospatial queries (intersection, overlapping);
