Name;Operating system;License;User interface;Fixed drives;USB, eSATA and removable drives;RAID support{{efn|name=RAID|Disks that are members of a RAID array may in some cases have their SMART attributes (data) largely inaccessible to the operating system, or to monitoring tools and software. This depends case-by-case on the RAID controller, operating system, and tools. As of 2012 inroads have been made into this, as RAID becomes wider used, but is still far from assured and not supported by all controllers, systems, or tools.{{citation needed|date=September 2012}}}};Shows S.M.A.R.T. attributes;Hard drive self-testing;Notification;Notes;
AIDA64;Windows;{{Nonfree|Trialware}}[1];GUI;{{partial|(S)ATA}};{{yes|most USB}};{{partial|Some RAID controllers}};{{yes}};{{no}};{{yes2}} Monitoring only available in the Business Edition[2];{{Clear}};
Argus Monitor;Windows;{{Nonfree|Trialware}}[3];GUI;{{yes|IDE(PATA), SATA}};{{yes|eSATA, USB}};{{partial|Some RAID controllers}};{{yes}};{{dunno}};{{yes2}} By window, sound, email, program execution at choosable parameter changes, threshold;Also shows temperature of CPU, GPU, CPU core speed, Intel Turbo Boost status, CPU power consumption, system load and system fan speeds. Can control speed of GPU and system fans.;
Defraggler;Windows;{{Nonfree|Freeware}};GUI;{{yes|IDE(PATA), SATA}};{{yes|eSATA, USB}};{{No}};{{Yes}};{{No}};{{No}};Primarily a defragmenter; supports basic S.M.A.R.T. stat display, includes the one-word summary of drive-health.;
Disk Utility;macOS;{{Nonfree|Commercial proprietary}};GUI;{{No}};{{yes| eSATA and removable drives}};{{dunno}};{{no}};{{no}};{{no}};Summary information includes one line for S.M.A.R.T.[4];
GNOME Disks;Linux;{{Free|LGPL v2+}};GUI;{{yes|IDE(PATA), SATA}};{{partial|USB (when used with Live CD)}};{{dunno}};{{yes}};{{yes}};{{yes2}} GNOME pop-up notification;LiveCDs are available for download, allowing the user to use GNOME Disks without any changes to the computer.;
smartmontools[5];Windows, Unix-like (Linux, macOS, BSD, etc.);{{Free|GNU GPL v2}};CLI and GUI (via GSmartControl and HDD Guardian);{{partial|All for Linux, some for other Unix-like}};{{Yes|See list of supported devices;[6] SAT driver required on macOS only[7]}};{{partial|Several RAID controllers}}[8];{{yes}};{{yes}};{{yes2}} window, sound, email, program execution at choosable parameter changes, threshold;LiveCDs are available for download, allowing the user to use smartmontools without any changes to the computer.;
Speccy;Windows;{{Nonfree|Freeware}};GUI;{{yes|IDE(PATA), SATA}};{{no}}[9];{{dunno}};{{yes}};{{no}};{{no}};{{Clear}};
SpeedFan;Windows;{{Nonfree|Freeware}};GUI;{{partial|(S)ATA, SCSI, SAT; Areca, 3ware}};{{yes}};{{Partial|Some RAID controllers}};{{yes}};{{yes}};{{yes2}} Window, sound, e-mail, running a command; at parameter changes, threshold, temperature;Estimate health and performance by percentage, and offers online drive analysis (and compares from other users).;
SpinRite;DOS, FreeDOS;{{Nonfree|Commercial proprietary}};GUI;{{dunno}};{{dunno}};{{dunno}};{{yes}}[10];{{yes}};{{no}};{{Clear}};
Name;Operating system;License, price;User interface;Fixed drives;USB, eSATA and removable drives;RAID support{{efn|name=RAID}};Shows S.M.A.R.T. attributes;Hard drive self-testing;Notification;Notes;
