IDE;Developer;Latest stable release;Platform;License;
Decoda;Unknown Worlds Entertainment;1.16 / October 25, 2011;Windows;{{yes|Open-source[35]}};
SlickEdit;SlickEdit;October 2016;Windows, Linux, macOS, AIX, HP-UX, Solaris, Solaris SPARC;{{Proprietary}};
ZeroBrane Studio;Paul Kulchenko, ZeroBrane LLC;1.80 / October 7, 2018;Windows, macOS/Mac, Linux;{{yes|MIT License}};
