Shell;Secure (password) prompt;Encrypted variables/ parameters;File/directory passwords;Execute permission;Untrusted script blocking;Restricted shell subset;Safe data subset;
Bourne shell;{{some|via stty}}[69];{{no}};?;{{N/A}}[70];{{no}};{{yes}};{{no}};
POSIX shell;{{some|via stty}}[69];{{no}};?;{{N/A}}[70];{{no}};{{no}};{{no}};
bash (v4.0);{{yes|read -s}};{{no}};?;{{N/A}}[70];{{no}};{{yes}};{{no}};
csh;{{some|via stty}}[69];{{no}};?;{{N/A}}[70];{{no}};{{yes}};{{no}};
tcsh;{{some|via stty}}[69];{{no}};?;{{N/A}}[70];{{no}};{{yes}};{{no}};
Hamilton C shell;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Scsh;{{some|via stty}}[69];{{no}};?;{{N/A}}[70];{{no}};{{no}};{{no}};
ksh (ksh93t+);{{some|via stty}}[69];{{no}};?;{{N/A}}[70];{{no}};{{yes}};{{no}};
pdksh;{{some|via stty}}[69];{{no}};?;{{N/A}}[70];{{no}};{{yes}};{{no}};
zsh;{{yes|read -s}};{{no}};?;{{N/A}}[70];{{no}};{{yes}};{{no}};
ash;{{some|via stty}}[69];{{no}};?;{{N/A}}[70];{{no}};{{yes}};{{no}};
CCP;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
COMMAND.COM;{{partial}} (only under DR-DOS, prompts for password if file/directory is protected);{{no}};{{partial}} (only under DR-DOS via \dirname;dirpwd\filename;filepwd syntax)[71];{{partial}} (only under DR-DOS, if files are password-protected for read and/or execute permission)[72];{{no}};{{no}};{{no}};
OS/2 CMD.EXE;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Windows CMD.EXE;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
4DOS;{{yes}} (via INPUT /P or INKEY /P)[73];{{no}};{{partial}} (only under DR-DOS via \dirname;;dirpwd\filename;;filepwd syntax)[71];{{partial}} (only under DR-DOS, if files are password-protected for read and/or execute permission)[72];{{no}};{{no}};{{no}};
4OS2;?;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
TCC (formerly 4NT);{{yes}} (via INPUT /P, INKEY /P or QUERYBOX /P)[73];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
PowerShell;{{yes}}[74];{{yes}};{{no}};{{no}}[75];{{yes}}[76];{{yes}}[77];{{yes}}[78];
rc;{{some|via stty}}[69];{{no}};?;{{N/A}}[70];{{no}};{{yes}}[79];{{no}};
BeanShell;?;?;?;?;?;?;?;
VMS DCL;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};
fish;{{yes|read -s}};{{no}};?;{{N/A}}[70];{{no}};{{yes| Yes (via fish -l)}};?;
