Company;Software;On-demand scan;On-access scan;Heuristics;CloudAV;Firewall;IDS;IPS;Email security;AntiSpam;Web protection;Live-Update;Support;License;Price;First release;Country of origin;Notes;
AVG Technologies (Grisoft);AVG Linux Server Edition;{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Proprietary}};{{Nonfree}};2008;Czech Republic;;
Cisco;Clam AntiVirus;{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{GPL-lic}};{{Free}};1998;United States;;
Comodo Group;Comodo Internet Security Linux;{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{Proprietary}};{{Free}};2008;United States;;
Dr. Web;Dr. Web Anti-virus for Linux;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Proprietary}};{{some|Trialware}};1992;Russia;;
ESET;ESET File Security for Linux;{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{Proprietary}};{{Nonfree}};2008;Slovakia;;
FRISK Software;F-PROT Antivirus;{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{Proprietary}};{{some|Trialware}};1989;Iceland;;
F-Secure;F-Secure Linux Security;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Proprietary}};{{Nonfree}};2008;Finland;;
Kaspersky Lab;Kaspersky Anti-Virus for Linux;{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{Proprietary}};{{Nonfree}};2012;Russia;Banned by USG;
Panda Security;Panda DesktopSecure for Linux;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Proprietary}};{{Nonfree}};2008;Spain;;
Quick Heal;Quick Heal for Linux;{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{Proprietary}};{{Nonfree}};2005;India;;
Sophos;Sophos Anti-Virus for Linux;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Proprietary}};{{Free}};2008;United Kingdom;;
Company;Software;On-demand scan;On-access scan;Heuristics;CloudAV;Firewall;IDS;IPS;Email security;AntiSpam;Web protection;Live-Update;Support;License;Price;First release;Country of origin;Notes;
