IDE;License;Windows;Linux;macOS;Other platforms;Written in;Debugger;GUI builder;Integrated toolchain;Profiler;Code coverage;Autocomplete;Static code analysis;GUI-based design;Class browser;Latest stable release;C compiler;C++ compiler;Refactoring;
Anjuta;{{yes|GPL}};{{no}};{{yes}};{{no}};FreeBSD;C;{{yes}};{{yes}};{{yes}};{{Yes}};{{no}};{{Yes}};{{no}};{{Yes}};{{Yes}};2016-03;{{yes}};{{yes}};{{no}};
AppCode (IntelliJ IDEA);{{proprietary}};{{no}};{{no}};{{yes}};;Java;{{yes}};{{yes}};{{no}};{{yes}} (Xcode profiler);{{no}};{{yes}};{{yes}};{{yes}};{{yes}};2012-12;{{yes}} (Xcode toolchain);{{yes}} (Xcode toolchain);{{yes}};
C++Builder;{{proprietary|Proprietary, Freeware (Starter edition only)}};{{yes}};{{no}} (Cross compiler planned);{{yes}} (Cross compiler);cross-compiles for Android and iOS;C++ and Object Pascal;{{yes}};{{yes}};{{yes}};{{yes}} (AQTime Standard in package manager);{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};2017-03 Tokyo 10.2;{{yes}};{{yes}};{{yes}};
Code::Blocks;{{yes|GPL}};{{yes}};{{yes}};{{yes}};FreeBSD, OpenBSD, Solaris;C++;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{Yes}};{{yes}};{{Yes}}[5];{{yes}};2017-12[6];{{yes}} (MinGW + custom);{{yes}} (MinGW + custom);{{yes}};
CodeLite;{{yes|GPL}};{{yes}};{{yes}};{{yes}};FreeBSD;C++;{{yes}};{{yes}};{{yes}};{{Yes}} (As of CodeLite 6.1, integration with Valgrind);{{no}};{{Yes}};{{Yes}};{{Yes}}[7];{{yes}};2018-10-25[8];{{yes}} (GCC, Clang, VC + custom);{{yes}} (GCC, Clang, VC + custom);{{yes}};
Dev-C++;{{yes|GPL}};{{yes}};{{no}}[9];{{no}};FreeBSD;Object Pascal;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};2013-10 (Unofficial Version), 2005-02 (Official Version);{{yes}};{{yes}};{{no}};
Eclipse CDT;{{yes|EPL}};{{yes}};{{yes}};{{yes}};FreeBSD, JVM, Solaris;C++, Java;{{yes}};{{yes}}[2];{{yes}}[10];{{yes}}[11];{{yes}}[12];{{yes}};{{yes}};{{yes}};{{yes}};2018-03[13][14][15];{{yes|External}};{{yes|External}};{{yes}};
Geany;{{yes|GPL}};{{yes}};{{yes}};{{yes}};FreeBSD, AIX, OpenBSD, Solaris, other Unix;C;{{yes}} (via a plug-in);{{no}};{{no}};{{no}};{{no}};{{Yes}};{{no}};{{no}};{{yes}};2016-03[16];{{yes|External}};{{yes|External}};{{no}};
GNAT Programming Studio;{{yes|GPL}};{{yes}};{{yes}};{{yes}};DragonFly BSD, FreeBSD, NetBSD, OpenBSD, Solaris;Ada;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};2016-06;{{yes}};{{yes}};{{yes}};
JetBrains CLion;{{proprietary|Proprietary}};{{yes}};{{yes}};{{yes}};;Java;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};2017-11[17];{{yes}} (customizable);{{yes}} (customizable);{{yes}};
KDevelop;{{yes|GPL}};{{yes}};{{yes}};{{yes}};FreeBSD, Solaris;C/C++;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{Yes}};{{yes}};{{yes}};{{yes}};2018-11;{{yes|External}};{{yes|External}};{{yes}};
LabWindows/CVI;{{Proprietary}};{{yes}};{{no}};{{no}};cross-compile to Linux, Phar Lap ETS;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{N/A}};2016-12;{{yes}};{{no}};{{no}};
Microsoft Visual Studio;{{proprietary|Proprietary, Freeware (Community edition only)}};{{yes}};{{no}};{{yes}};Mac OS 7 (v2.x-v4.x only), Linux[18];C++ and C#;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{Yes}};{{yes}};{{yes}};2017-10;{{yes}};{{yes}};{{yes}} (also plugin)[19];
