MonoDevelop;{{yes|LGPL}};{{yes}};{{yes}};{{yes}};FreeBSD, OpenBSD, Solaris;C#;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};2016-11;{{yes}} (GCC + custom);{{yes}} (GCC + custom);{{yes}};
NetBeans C/C++ pack;{{yes|CDDL and GPL}};{{yes}};{{yes}};{{yes}};OpenBSD, Solaris;Java;{{yes}}[20];{{yes}}[20];{{yes}}[21];{{no}}[20];{{no}};{{yes}};{{no}};{{yes}};{{yes}};2016-10[22];{{yes|External}};{{yes|External}};{{yes}};
OpenWatcom;{{yes|OSI Approved}};{{yes}} (32-bit only);partial;{{no}};FreeBSD, DOS, OS/2;C/C++;{{yes}} (GUI remote);{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};2010-06;{{yes}};{{yes}};{{no}};
Oracle Solaris Studio (formerly Sun Studio);{{proprietary|Proprietary, Freeware}};{{no}};{{yes}};{{no}};Solaris;{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};2008-11;{{yes}};{{yes}};{{yes}};
Qt Creator;{{yes|GPL / LGPL / Proprietary}};{{yes}};{{yes}};{{yes}};FreeBSD, Maemo, OpenBSD, Symbian;C++;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}} (clang);{{yes}};{{yes}};2016-12;{{yes|External}};{{yes|External}};{{yes}}[23];
Rational Software Architect (Eclipse IBM);{{proprietary}};{{yes}};{{yes}};{{no}};FreeBSD, JVM, Solaris;Java;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};2015-09;{{yes|External}};{{yes|External}};{{yes}};
SlickEdit;{{Proprietary}};{{Yes}};{{Yes}};{{Yes}};Solaris, Solaris SPARC, AIX, HP-UX;C++;{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};2016-10;{{yes|External}};{{yes|External}};{{Yes}};
Ultimate++ TheIDE;{{yes|BSD}};{{yes}};{{yes}};{{no}};;C++;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};2015-12;{{yes|External}};{{yes|External}};{{no}};
Understand;{{proprietary}};{{yes}};{{yes}};{{yes}};Solaris;{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};2015-12;{{no}};{{no}};{{yes}};
Xcode (Apple);{{proprietary}};{{no}};{{no}};{{yes}};cross compiles to iOS;C, C++, Objective-C, Objective-C++;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};2016-12;{{yes}}, llvm (llvm-gcc and gcc deprecated);{{yes}}, llvm (llvm-gcc and gcc deprecated);{{yes}};
IDE;License;Windows;Linux;macOS;Other platforms;Written in C/C++;Debugger;GUI builder;Integrated toolchain;Profiler;Code coverage;Autocomplete;Static code analysis;GUI-based design;Class browser;Latest stable release;C compiler;C++ compiler;Refactoring;
