Client;FTP;FTP over SSH;SFTP;FTPS (FTP over SSL);FXP (Site2site transfer);DAV / HTTP(S);Compression;Remote Compression;API / Commandline available;Resume Download;Passive mode;Sync Connections;
AbsoluteTelnet;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
ALFTP;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Beyond Compare;{{yes}};{{no}};{{yes}} (Pro only);{{yes}} (Pro only);{{no}};{{yes}} (Pro only);{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Classic FTP;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};
Codeanywhere;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Commander One;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};
CoreFTP;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
CrossFTP;{{yes}};{{yes}} (Pro only);{{yes}} (Pro only);{{yes}} (Pro only);{{yes}} (Pro only);{{yes}} (Pro only);{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};
cURL;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}} (Only);{{yes}};{{yes}};{{dunno}};
CuteFTP;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} (HTTP(S);{{yes}};{{no}};{{dunno}};{{yes}};{{yes}};{{dunno}};
Cyberduck;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}} (SFTP only);{{yes}};{{yes}};{{yes}};{{dunno}};
Directory Opus;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{dunno}};
ExpanDrive (Mac);{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
