IDE;Widget toolkit;Platform;Compilers;Open Source;Made in D;Notes;
Visual Studio;{{unk}};Windows;DMD, LDC (LLVM), GDC (GCC);{{no}};{{no}};Visual Studio extension. VisualD, wrote in D.;
NetBeans;Java Swing;Windows, macOS, GNU/Linux, FreeBSD, Solaris, OpenIndiana, Java;DMD, LDC (LLVM), GDC (GCC);{{yes}};{{no}};NetBeans module. NetBeans-D, under MIT License.;
SlickEdit;Qt;Windows, Linux, MacOS, AIX, HP-UX, Solaris, Solaris SPARC;DMD;{{No}};{{No}};;
CodeLite;wxWidget;Windows, macOS, GNU/Linux, FreeBSD, Solaris, OpenIndiana;DMD, LDC (LLVM), GDC (GCC);{{yes}};{{no}};;
Xcode;Cocoa;macOS;DMD, GDC (GCC);{{no}};{{no}};Xcode plugin. D for Xcode, under GPL v2.;
MonoDevelop;GTK#;Windows, macOS, GNU/Linux, FreeBSD, Solaris, OpenIndiana;DMD, LDC (LLVM), GDC (GCC);{{yes}};{{no}};MonoDevelop extension. Mono-D, support VisualD projects and DUB, Can be installed on Xamarin Studio too, under Apache License.;
KDevelop;Qt;Windows, macOS, GNU/Linux, FreeBSD, Solaris, OpenIndiana;DMD, LDC (LLVM), GDC (GCC);{{yes}};{{no}};;
Geany;GTK+;Windows, macOS, GNU/Linux, FreeBSD, Solaris, OpenIndiana;DMD, LDC (LLVM), GDC (GCC);{{yes}};{{no}};Native support.;
Code::Blocks;wxWidget;Windows, macOS, GNU/Linux, FreeBSD, Solaris, OpenIndiana;DMD, LDC (LLVM), GDC (GCC);{{yes}};{{no}};Includes partial support.;
Eclipse;SWT;Windows, macOS, GNU/Linux, FreeBSD, Solaris, OpenIndiana, Java;DMD;{{yes}};{{no}};Eclipse Plugin. DDT. Dropped.;
