Application;Latest release date and version;Developed by;Platforms;Mainly Used For;License;
Bryce;2010-12-23 7.1.0.109;DAZ 3D;Microsoft Windows (32-bit), Mac OS X (10.7 and above);Animation, Landscape Modeling, Fractal Geometry;{{proprietary}};
Sculptris;2011-07-22 v Alpha 6;Pixologic;Mac OS X, Microsoft Windows;Sculpting, Texturing;{{proprietary}};
Softimage;"2015" (Final Release);Autodesk;Microsoft Windows, Linux;Modeling, Animation, Video Game Creation, Lighting, Rendering, Visual 3d Effects;{{proprietary}};
SketchUp Make;2017-11-14 [5] v 18.0.16975 (Win64) v 18.0.16976 (Mac64);Trimble Navigation;Mac OS X, Microsoft Windows;Modeling, Computer Aided Design;{{proprietary}};
trueSpace;2009-05-25 v 7.61;Caligari Corporation;Microsoft Windows, AmigaOS;Animation, Modeling;{{proprietary}};
