;Primary developers;First public release;Based on;Latest stable version;Cost (USD);Preferred license;Purpose;Short description;
Version;Release Date;
FreeBSD;The FreeBSD Project;{{date|1993-12|iso}};386BSD, 4.4BSD-Lite;11.2;{{date|2018-06-21|iso}};{{Free}};Simplified BSD;Server, Workstation, Network Appliance, Embedded;Aims to be usable for any purpose.;
OpenBSD;The OpenBSD Project;{{date|1996-09|iso}};NetBSD 1.0;6.4;2018-10-18;{{Free}};ISC;Server, Workstation, Network Appliance, Embedded;Aims for maximum correctness in code, bringing simplicity and security.;
NetBSD;The NetBSD Project;{{date|1993-05|iso}};386BSD, 4.4BSD-Lite;8.0;{{date|2018-07-21|iso}};{{Free}};Simplified BSD;Server, Workstation, Network Appliance, Embedded;Aims for maximum portability.;
DragonFly BSD;Matt Dillon;{{date|2004-07-12|iso}};FreeBSD 4.8;5.2.2;{{date|2018-06-18|iso}};{{Free}};Modified BSD;Server, Workstation, Network Appliance, Embedded;Aims for maximum scalability.;
386BSD{{r|group=Note|a1}};William and Lynne Jolitz;{{date|1992-03|iso}};4.3BSD Net/2;1.0;{{date|1994-11|iso}};{{Free}};BSD;Open source general purpose;Historical;
BSD/OS (BSD/386){{r|group=Note|a1}};BSDi, Wind River Systems;{{date|1993-03|iso}};4.3BSD Net/2, 4.4BSD;5.1;{{date|2003-10|iso}};{{dunno}};Proprietary;General purpose;Historical;
SunOS{{r|group=Note|a1}}{{r|group=Note|a2}};Sun Microsystems;{{date|1982|iso}};4.xBSD, UNIX System V[33];4.1.4;{{date|1994-11|iso}};Included in hardware and support charges;Proprietary;Server, Workstation;Historical (Solaris is a different code base);
Ultrix{{r|group=Note|a1}};Digital Equipment Corporation;{{date|1984|iso}};4.2BSD, SVR2;4.5;{{date|1995|iso}};{{dunno}};Proprietary;General Purpose;Historical (ran on DEC VAX & MIPS systems or emulators).;
RISCiX;Acorn Computers;1988;4.3 BSD, Unix System V;1.31c;1993-09-07;{{Nonfree}} £1000 GBP (Approx $1400);Proprietary;Workstation;Historical (ran on Archimedes and R series Workstations);
Tru64 UNIX (DEC OSF/1, Digital UNIX);DEC, Compaq, HP;{{date|1993|iso}};4.3BSD, 4.4BSD, Mach 2.5, UNIX System V;5.1B-6;{{date|2010-10|iso}};{{Nonfree}} $99 (non-commercial);Proprietary;General Purpose;Only runs on HP Alpha systems or emulators.;
macOS;Apple Inc.;{{date|2001-03-24|iso}};Darwin;10.14 "Mojave";{{date|2018-09-24|iso}};Client: Free Server (add-on application): $19.99;Open source core system (see Darwin) with proprietary higher level API layers locking to Apple hardware;Workstation, Home Desktop, Server;Locked to Apple hardware use only;
iOS;Apple Inc.;{{date|2007-06|iso}};Darwin;12.0.1;{{date|2018-09-17|iso}};{{Free}};Open source core system (see Darwin) with proprietary higher level API layers locking to Apple hardware;Embedded mobile device;Ships with Apple iPhone, iPad, iPod Touch, Apple TV, Apple Watch;
Darwin;Apple Inc.;{{date|2001-03|iso}};NeXTSTEP, FreeBSD, classic Mac OS;18.0.0;{{date|2018-09-24|iso}};{{Free}};APSL, GPL and others;Workstation, Home Desktop, Server;The kernel and certain userland components of macOS and iOS;
TrueOS;iXsystems, Inc.;{{date|2006-04-29|iso}};FreeBSD;18.3;{{date|2018-03-30|iso}};{{Free}};BSD;Server;Easy to use while maintaining full use of FreeBSD base;
GhostBSD;Eric Turgeon;{{date|2009-11|iso}};FreeBSD;11.1;{{date|2017-11-16|iso}};{{Free}};BSD;Desktop, Workstation;Easy to use, full FreeBSD w/ GNOME, Mate, Xfce, LXDE or Openbox.;
DesktopBSD;Peter Hofer, Daniel Seuffert;{{date|2005-07-25|iso}};FreeBSD;1.7;{{date|2009-09-07|iso}};{{Free}};BSD;Desktop;Easy to use;
ClosedBSD;Joshua Bergeron and various contributors;{{dunno}};FreeBSD;1.0B (floppy), 1.0-RC1 (CD);{{dunno}};{{Free}};Proprietary;{{dunno}};firewall/NAT, boot floppy, Live CD;
FreeSBIE;{{dunno}};{{dunno}};FreeBSD;2.0.3;{{date|2007-02|iso}};{{Free}};{{dunno}};{{dunno}};Live CD of FreeBSD. DistroWatch lists as discontinued.;
PicoBSD;Michael Bialecki;{{dunno}};FreeBSD;0.42;{{dunno}};{{Free}};BSD;boot floppy;{{dunno}};
Anonym.OS;{{dunno}};{{date|2005-01|iso}};OpenBSD 3.8;none (beta only);{{dunno}};{{Free}};{{dunno}};Anonymous browsing;Live CD;
MirOS BSD;The MirOS Project;{{dunno}};OpenBSD 3.1;10;{{date|2008-03-16|iso}};{{Free}};{{dunno}};{{dunno}};European;
ekkoBSD{{r|group=Note|a1}};Rick Collette;{{dunno}};OpenBSD 3.3;{{dunno}};{{dunno}};{{dunno}};{{dunno}};Server;easy to administer;
MicroBSD{{r|group=Note|a1}};Bulgarians;{{dunno}};OpenBSD 3.0/3.4;0.6;{{date|2003-10-27|iso}};{{Free}};{{dunno}};General purpose;Small, secure;
OliveBSD;Gabriel Paderni;{{dunno}};OpenBSD 3.8;{{dunno}};{{dunno}};{{Free}};{{dunno}};Live CD;DistroWatch lists as discontinued.;
Gentoo/FreeBSD;Gentoo Linux developers;{{dunno}};FreeBSD;{{dunno}};{{dunno}};{{Free}};GPL, BSD;Server, Workstation, Network Appliance;uses Gentoo framework;
Gentoo/OpenBSD;Gentoo Linux developers;{{dunno}};OpenBSD;{{dunno}};{{dunno}};{{Free}};GPL, BSD;Server, Workstation, Network Appliance, Embedded;uses Gentoo framework;
Gentoo/NetBSD;Gentoo Linux developers;{{dunno}};NetBSD;{{dunno}};{{dunno}};{{Free}};GPL, BSD;Server, Workstation, Network Appliance, Embedded;uses Gentoo framework;
Gentoo/DragonflyBSD;Robert Sebastian Gerus (project not yet officially supported by Gentoo);{{dunno}};DragonFly BSD;{{dunno}};{{dunno}};{{Free}};{{dunno}};Server, Workstation, Network Appliance;uses Gentoo framework;
