Software;ArXiv;CiteSeer;IEEE Xplore;PubMed;Other;
Aigaion;{{no}};{{no}};{{no}};{{no}};{{no|none}};
Bebop;{{no}};{{no}};{{no}};{{no}};{{no}};
BibBase;{{no}};{{no}};{{no}};{{no}};{{yes|DBLP, Zotero, BibSonomy, Mendeley}};
BibDesk;{{yes}};{{yes}};{{no}};{{yes}};{{yes|ACM portal, Jstor, DBLP, Google Scholar, Web of Science, any Z39.50 or Entrez, and others}};
Biblioscape;{{no}};{{no}};{{no}};{{yes}};{{yes|Import from integrated web browser}};
BibSonomy;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various[38]}};
Bibus;{{no}};{{no}};{{no}};{{yes}};{{no|none}};
Bookends;{{yes}};{{no}};{{no}};{{yes}};{{yes|Web of Science, Amazon, Google Scholar, Z39.50}};
Citavi;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|WorldCat/OCLC, Ovid, EBSCO, ProQuest, Web of Science, Z39.50 (4500+ online resources), SRU. Further catalogs are added upon request. Browser plugins (Firefox, Chrome, Internet Explorer) support DOI lookup, ISBN lookup, PubMed ID lookup, PMCID lookup, arXiv ID lookup, COinS and import from Wikipedia}}.;
CiteULike;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various [4]}};
colwiz;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Over 30 repositories, Import from integrated web browser}};
EndNote;{{yes}};{{no}};{{yes}};{{yes}};{{yes|various[39] any Z39.50 }};
F1000Workspace;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Google scholar, Google Books, Amazon, Web of Science/Web of Knowledge, WorldCat/OCLC, Science Direct, JSTOR, Highwire, PMC Europe, ACMDigitalLibrary, Scopus, Wiley, NIHLibrary, voyager, PrimoLibweb, PubMedID/DOI/ISBN lookup and the majority of journal websites.}};
JabRef;{{yes}};{{yes}};{{yes}};{{yes}};{{yes| ACM Portal, CrossRef, DBLP, DOAJ, DOI, GVK, Google Scholar, INSPIRE-HEP, Medline, MathSciNet, SAO/NASA Astrophysics Data System, Springer, and zbMATH}};
KBibTeX;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|BibSonomy, CiteBase, CSB, DBLP, Google Scholar, ScienceDirect, INSPIRE-HEP, Z MATH, Z39.50}};
Mendeley;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various [5]}};
Paperpile;{{yes}};{{no}};{{no}};{{yes}};{{yes|Google Scholar}};
Papers;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|ACM, ADS, Google Books, Google Scholar, JSTOR, MathSciNet, Project Muse, Scopus, Web of Science}};
Pybliographer;{{no}};{{no}};{{no}};{{yes}};{{no|none}};
Qiqqa;{{yes}};{{no}};{{yes}};{{yes}};{{yes|GoogleScholar, JSTOR}};
ReadCube;{{no}};{{no}};{{no}};{{yes}};{{yes|Microsoft Academic, Google Scholar}};
refbase;{{yes}};{{no}};{{no}};{{yes}};{{yes|DOI lookup}};
RefDB;{{yes}};{{no}};{{no}};{{yes}};{{yes|any Z39.50}};
Reference Manager;{{no}};{{no}};{{no}};{{yes}};{{yes|various[40]}};
Referencer;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
RefWorks;{{no}};{{no}};{{no}};{{yes}};{{yes|various}};
SciRef;{{no}};{{no}};{{no}};{{no}};{{no}};
Sente;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Z39.50, SRU, Web of Knowledge}};
Wikindx;{{no}};{{no}};{{no}};{{yes}};{{yes|via plug-ins}};
WizFolio;{{yes}};{{no}};{{yes}};{{yes}};{{yes|various[41]}};
Zotero;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various[42]}};
