;Range;Hash;Composite (Range+Hash);List;Expression;
4th Dimension;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
ADABAS;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Adaptive Server Enterprise;{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};
Advantage Database Server;{{no}};{{no}};{{no}};{{no}};{{dunno}};
Altibase;{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};
Apache Derby;{{no}};{{no}};{{no}};{{no}};{{dunno}};
ClustrixDB;{{yes}};{{no}};{{no}};{{no}};{{no}};
CUBRID;{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};
IBM DB2;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Empress Embedded Database;{{no}};{{no}};{{no}};{{no}};{{dunno}};
EXASolution;{{no}};{{yes}};{{no}};{{no}};{{no}};
Firebird;{{no}};{{no}};{{no}};{{no}};{{dunno}};
HSQLDB;{{no}};{{no}};{{no}};{{no}};{{dunno}};
H2;{{no}};{{no}};{{no}};{{no}};{{dunno}};
Informix Dynamic Server;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Ingres;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
InterBase;{{no}};{{no}};{{no}};{{no}};{{dunno}};
Linter SQL RDBMS;{{yes}};{{no}};{{no}};{{yes}};{{no}};
MariaDB;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
MaxDB;{{no}};{{no}};{{no}};{{no}};{{dunno}};
Microsoft Access (JET);{{no}};{{no}};{{no}};{{no}};{{dunno}};
Microsoft Visual Foxpro;{{no}};{{no}};{{no}};{{no}};{{dunno}};
Microsoft SQL Server;{{yes}};{{partial|via computed column}};{{partial|via computed column}};{{yes}};{{partial|via computed column}};
Microsoft SQL Server Compact (Embedded Database);{{no}};{{no}};{{no}};{{no}};{{dunno}};
Mimer SQL;{{no}};{{no}};{{no}};{{no}};{{no}};
MonetDB;{{no}};{{no}};{{no}};{{no}};{{no}};
MySQL;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
OpenBase SQL;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Oracle;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|via Virtual Columns}};
Oracle Rdb;{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};
OpenLink Virtuoso;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Pervasive PSQL;{{no}};{{no}};{{no}};{{no}};{{no}};
Polyhedra DBMS;{{no}};{{no}};{{no}};{{no}};{{no}};
PostgreSQL;{{yes}}1;{{yes}}1;{{yes}}1;{{yes}}1;{{yes}}1;
Raima Database Manager;{{yes}}2;{{yes}}2;{{yes}}2;{{no}};{{dunno}};
RDM Server;{{no}};{{no}};{{no}};{{no}};{{dunno}};
SAP HANA;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
solidDB;{{yes}};{{no}};{{no}};{{no}};{{dunno}};
SQL Anywhere;{{no}};{{no}};{{no}};{{no}};{{dunno}};
SQLite;{{no}};{{no}};{{no}};{{no}};{{dunno}};
Teradata;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
UniVerse;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
;Range;Hash;Composite (Range+Hash);List;Expression;
