Software;APA;Chicago/Turabian;Harvard;MLA;Other;Extension method;
Aigaion;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|BMJ, IEEE}};{{yes|OSBIB}};
Bebop;{{no}};{{no}};{{no}};{{no}};{{no|none}};{{no|none}};
BibBase;{{yes}};{{no}};{{no}};{{no}};{{no|none}};{{no|none}};
BibDesk;{{yes}};{{yes|yes}};{{no}};{{no}};{{yes|various}};{{partial|BibDesk export templates}};
Biblioscape;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|2000+ styles {{Citation needed|date=March 2009}}}};{{yes|Biblioscape format (through GUI)}};
BibSonomy;{{yes}};{{no}};{{yes}};{{no}};{{no|none}};{{no|none}};
Bibus;{{yes}};{{no}};{{no}};{{no}};{{yes|56 styles, user-contributed}};{{yes|bibus format (through GUI)}};
Bookends;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various{{Citation needed|date=November 2008}}}};{{dunno}};
Citavi;{{yes}};{{yes}};{{yes}};{{yes}};{{yes| 9400+ styles. Styles can be requested and are centrally corrected}}; any BibTeX style when used with LaTeX.;{{yes|Citavi format (through GUI), includes conditions and programmable components}}; BibTeX;
CiteULike;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various{{Citation needed|date=March 2009}}}};{{no|none}};
colwiz;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|9207 styles}};{{yes|CSL}};
EndNote;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|6926 styles}};{{yes|EndNote format (through GUI)}};
F1000Workspace;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|9207 styles}};{{yes|CSL}};
JabRef;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|any BibTeX style}};{{yes|BibTeX}};
KBibTeX;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|any BibTeX style}};{{yes|BibTeX}};
Mendeley;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|9207 styles}};{{yes|CSL}};
Paperpile;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|9207 styles}};{{yes|CSL}};
Papers;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|9207 styles}};{{yes|CSL}};
Pybliographer;{{yes}};{{no}};{{no}};{{no}};{{no|none}};{{partial|Pybliographer XML}};
Qiqqa;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|9207 styles}};{{yes|BibTeX and CSL}};
ReadCube;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|9207 styles}};{{yes|BibTeX and CSL}};
refbase;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various polar & marine journals}};{{partial|PHP}};
RefDB;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|21 biomedical & law journals}};{{yes|XML (citestylex.dtd), interactive script}};
Reference Manager;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various}};{{yes|Reference Manager format (through GUI)}};
Referencer;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
RefWorks;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|4256, plus CSL styles}};{{yes|RefWorks format (through GUI); CSL}};
SciRef;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various}};{{yes|SciRef format (through GUI)}};
Sente;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various}};{{yes|Sente format (through GUI)}};
Wikindx;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|ABNT, APA, BMJ, Chicago, Harvard, IEEE, MLA, Turabian}};{{yes|Wikindx format (through GUI)}};
WizFolio;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|1000+ styles}};{{yes|WizFolio format (through GUI)}};
Zotero;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|9207 styles}};{{yes|CSL}};
