XEP;Description;Status;ejabberd;iChat Server;jabberd14;jabberd2;Metronome;Isode M-Link;MongooseIM;Openfire;Prosody;Tigase;
0073;Basic IM Protocol Suite;{{incorrect|Obsolete}};{{unk}};{{unk}};{{Yes}}[2];{{Yes}}[18];{{Yes}};{{No}};{{Yes}};{{Yes}}[4];{{Yes}};{{Yes}}[5];
0077;In-Band Registration;{{Yes|Final}};{{Yes}}[7];{{unk}};{{Yes}}[2];{{Yes}}[18];{{Yes}}[19];{{Yes}}[20];{{Yes}};{{Yes}}[4];{{Yes}}[21];{{Yes}}[5];
0078;Non-SASL Authentication;{{incorrect|Obsolete}};{{Yes}}[7];{{unk}};{{Yes}}[2];{{Yes}}[18];{{No}}[19];{{Yes}}[20];{{Yes}};{{Yes}}[4];{{Yes}}[21];{{Yes}}[5];
0079;Advanced Message Processing;{{nightly|Draft}};Contrib.[7][30];Contrib.[7];{{unk}};{{yes}}[18];{{No}}[19];{{No}};{{Yes, partial}};{{unk}};{{No}}[21];{{Yes}}[5];
0080;User Location;{{nightly|Draft}};{{unk}};{{unk}};{{unk}};{{no}}[18];{{Yes}}[19];{{No}};{{Yes}};{{unk}};{{Yes}}[21];{{unk}};
0082;XMPP Date and Time Profiles;{{Yes|Approved}};{{Yes}}[7];{{unk}};{{unk}};{{No}}[18];{{Yes}}[19];{{Yes}}[20];{{Yes}};{{Yes}}[4];{{Yes}}[21];{{unk}};
0083;Nested Roster Groups;{{Yes|Approved}};{{Yes}}[7];{{unk}};{{Yes}}[2];{{Yes}}[18];{{Yes}}[19];{{No}};{{Yes}};{{unk}};{{Yes}}[21];{{unk}};
0084;User Avatar;{{nightly|Draft}};{{unk}};{{unk}};{{unk}};{{No}}[18];{{Yes}}[19];{{No}};{{No}};{{unk}};{{Yes}}[21];{{unk}};
0085;Chat State Notifications;{{Yes|Final}};{{Yes}}[7];{{unk}};{{unk}};{{No}}[18];{{Yes}};{{No}};{{Yes}};{{unk}};{{Yes}}[21];{{Yes}}[5];
0086;Error Condition Mappings;{{incorrect|Deprecated}};{{Yes}}[7];{{unk}};{{Yes}}[2];{{Yes}}[18];{{No}}[19];{{No}};{{Yes}};{{Yes}}[4];{{No}};{{unk}};
