IDE;Developer;Latest stable release;Platform;License;
Eclipse DLTK;;5.0;Windows, Linux, macOS, FreeBSD, JVM, Solaris;{{yes|EPL}};
Komodo IDE / Edit;ActiveState;9.0.1;Cross-platform;{{partial|IDE:Proprietary, Edit:GPL, LGPL, MPL}};
SlickEdit;SlickEdit;October 2016 v.21;Windows, Linux, macOS, AIX, Solaris, HP-UX;{{Proprietary}};
