Latin;Spanish;Portuguese;Examples;Meaning;
{{sm|cl}}-, {{sm|fl}}-, {{sm|pl}}-;ll- or pl;ch-;{{sm|cl?m?re}} ? S. llamar, P. chamar {{sm|plumbum}} ? S. plomo, P. chumbo {{sm|flammam}} ? S. llama, P. chama {{sm|pl?num}} ? S. lleno, P. cheio (also pleno);'to call' 'lead' (metal) 'flame' 'full';
-{{sm|lt}}-, -{{sm|ct}}-;-ch-;-it-;{{sm|multum}} ? S. mucho, P. muito {{sm|noctem}} ? S. noche, P. noite {{sm|pectum}} ? S. pecho, P. peito;'much' 'night' 'chest';
{{sm|f}}-;h- (later silent) or f-;f-;{{sm|f?bul?re}} ? S. hablar, P. falar {{sm|f?lium}} ? S. hijo, P. filho {{sm|focum}} ? S. fuego, P. fogo;'to speak' 'son' 'fire';
{{sm|j(a)}}-;ya-;ja-;{{sm|iam}} ? S. ya, P. já {{sm|iacere}} ? S. yacer, P. jazer (both archaic);'already' 'to lie, as in a grave';
-{{sm|l}}-;-l-;(elided);{{sm|caelum}} ? S. cielo, P. céu (arch. ceo) {{sm|vol?re}} ? S. volar, P. voar;'sky' 'to fly';
-{{sm|c(u)l}}-, -{{sm|li}}-;-j-;-lh-;{{sm|oculum}} ? S. ojo, P. olho {{sm|f?lium}} ? S. hijo, P. filho;'eye' 'son';
-{{sm|ll}}-;-ll-;-l-;{{sm|castellum}} ? S. castillo, P. castelo;'castle';
-{{sm|n}}-;-n-;(elided);{{sm|gener?lem}} ? S. general, P. geral {{sm|ten?re}} ? S. tener, P. ter;'general' (adj.) 'to have';
-{{sm|ni}}-;-ni-;-nh-;{{sm|i?nius}} ? S. junio, P. Junho;
-{{sm|nn}}-;-ñ-;-n-;{{sm|annum}} ? S. año, P. ano {{sm|cannam}} ? S. caña, P. cana;'year' 'reed';
