Operating system;Limit on IA-32;Limit on x64;
{{sort|4.0.a|Windows NT 4.0}};4 GB;{{n/a}};
{{sort|5.0.b|Windows 2000 Professional/Server}};4 GB;{{n/a}};
{{sort|5.0.c|Windows 2000 Advanced Server}};8 GB;{{n/a}};
{{sort|5.0.d|Windows 2000 Datacenter}};32 GB;{{n/a}};
{{sort|5.1.a|Windows XP Starter}};{{sort|0.5 GB|512 MB}};{{n/a}};
{{sort|5.1.b|Windows XP Home}};4 GB;{{n/a}};
{{sort|5.1.c|Windows XP Professional}};4 GB;128 GB;
{{sort|5.1.sp0.w|Windows Server 2003 RTM Web}};2 GB;{{n/a}};
{{sort|5.1.sp0.x|Windows Server 2003 RTM Standard/Small Business}};4 GB;{{n/a}};
{{sort|5.1.sp0.z|Windows Server 2003 RTM Enterprise/Datacenter}};64 GB;{{n/a}};
{{sort|5.1.sp1.x|Windows Server 2003 R2/SP1 Standard}};4 GB;32 GB;
{{sort|5.1.sp1.z|Windows Server 2003 R2/SP1 Enterprise/Datacenter}};64 GB;{{sort|1024 GB|1 TB}};
{{sort|6.0.a|Windows Vista Starter}};1 GB;{{n/a}};
{{sort|6.0.b|Windows Vista Home Basic}};4 GB;8 GB;
{{sort|6.0.c|Windows Vista Home Premium}};4 GB;16 GB;
{{sort|6.0.f|Windows Vista Business/Enterprise/Ultimate}};4 GB;128 GB;
{{sort|6.0.v|Windows Home Server}};4 GB;{{n/a}};
{{sort|6.0.x|Windows Server 2008 Web Server/Standard/Small Business}};4 GB;32 GB;
{{sort|6.0.y|Windows HPC Server 2008}};{{n/a}};128 GB;
{{sort|6.0.z|Windows Server 2008 Enterprise/Datacenter}};64 GB;{{sort|1024 GB|1 TB}};
{{sort|6.1.a|Windows 7 Starter}};2 GB;{{n/a}};
{{sort|6.1.b|Windows 7 Home Basic}};4 GB;8 GB;
{{sort|6.1.c|Windows 7 Home Premium}};4 GB;16 GB;
{{sort|6.1.f|Windows 7 Professional/Enterprise/Ultimate}};4 GB;192 GB;
{{sort|6.1.w|Windows Server 2008 R2 Foundation}};{{n/a}};8 GB;
{{sort|6.1.x|Windows Server 2008 R2 Web Server/Standard}};{{n/a}};32 GB;
{{sort|6.1.y|Windows HPC Server 2008 R2}};{{n/a}};128 GB;
{{sort|6.1.z|Windows Server 2008 R2 Enterprise/Datacenter}};{{n/a}};{{sort|2048 GB|2 TB}};
{{sort|6.2.a|Windows 8}};4 GB;128 GB;
{{sort|6.2.c|Windows 8 Pro/Enterprise}};4 GB;512 GB;
{{sort|6.2.w|Windows Server 2012 Foundation}};{{n/a}};32 GB;
{{sort|6.2.x|Windows Server 2012 Essentials}};{{n/a}};64 GB;
{{sort|6.2.z|Windows Server 2012 Standard/Datacenter}};{{n/a}};{{sort|4096 GB|4 TB}};
{{sort|6.2.z|Windows Storage Server 2012 Standard}};{{n/a}};{{sort|4096 GB|4 TB}};
{{sort|6.2.z|Windows Storage Server 2012 Workgroup}};{{n/a}};32 GB;
{{sort|6.2.z|Hyper-V Server 2012}};{{n/a}};{{sort|4096 GB|4 TB}};
{{sort|7.a|Windows 10 Mobile}};4 GB;{{n/a}};
{{sort|7.b|Windows 10 Home}};4 GB;128 GB;
{{sort|7.c|Windows 10 Pro}};4 GB;{{sort|2048 GB|2 TB}};
{{sort|7.d|Windows 10 Education}};4 GB;{{sort|2048 GB|2 TB}};
{{sort|7.e|Windows 10 Enterprise}};4 GB;{{sort|2048 GB|2 TB}};
{{sort|8.y|Windows Server 2016 Standard}};{{n/a}};{{sort|24576 GB|24 TB}};
{{sort|8.z|Windows Server 2016 Datacenter}};{{n/a}};{{sort|24576 GB|24 TB}};
