Client name;Encrypted by default;Development status;Open source client[68];Decentralized[69];Servers;Contact verification[70];Encryption ciphers;Forward secrecy[71];Multiple encryption[72][73];Encrypted groupchat[74];Encrypted file transfer[74];Public key and IP unrelated[75];Proxy /Tor[76];Transport[77];Asynchronous encryp. communication[78];Encrypted client data[79];Screenshot protection[80];Self-destructing messages[80];
Open source;Distributed;Federated;Data;Symmetric[72][81];Asymmetric[82];Asym. key size[83];TCP;UDP;SCTP;
Profile information[84];Chat metadata[85];Contact lists[86];Cloud backup;McEliece;RSA;DSA;ECC;NTRU;El Gamal;Default;Max.;
Briar;{{yes}};{{Active|Active, public beta}};{{yes}};{{yes}};{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};ECC-256;{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{no}};{{yes}};{{yes}};{{no}};
ChatSecure;{{yes-no|allows unencrypted}};{{Active}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;;{{no}};{{yes}}[87];{{yes}}[88];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[88];{{Optional}};{{dunno}};{{dunno}};{{dunno}};{{Optional}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{no}};
Conversations;{{yes-no|allows unencrypted}};{{Active}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{bad|Stored; not client-side encrypted}}[89];;{{bad|Stored}}[89];{{no}};{{yes}};{{yes}}[88];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{Depends}};{{Optional}};{{Optional}};{{yes}};{{Optional}};{{Optional}};{{dunno}};{{dunno}};{{dunno}};{{Optional}};{{dunno}};{{dunno}};{{no}};
Cryptocat;{{yes}};{{Active}};{{yes}};{{no}};{{dunno}};{{dunno}};{{no}};;;;{{no}};{{yes}}[90];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[90];{{yes}}[90];No groupchat;{{yes}}[90];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
FireChat[91];{{yes-no|allows unencrypted}}[92];{{Active}};{{no}};{{yes}};{{n/a}};{{n/a}};{{n/a}};;;;{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no|Includes groupchat, but it is not encrypted}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{no}};
iMessage[93];{{yes-no|allows unencrypted}}[94];{{Active}};{{no}}[93];{{no}};{{no}};{{dunno}};{{no}};;;;{{optional}};{{no}}[87];{{dunno}};{{dunno}};{{yes}}[95];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}}[93];{{dunno}};{{depends}}[96];{{yes}}[97];{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{no}};{{no}};
Line[98][99];{{yes}};{{Active}};{{no}};{{no}};{{no}};{{yes}}[100];{{no}};{{bad|Stored; not client-side encrypted}}[100];;{{bad|Stored}}[100];{{optional}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[101];{{dunno}};{{dunno}};ECC-256[101];{{n/a}};{{no}};{{dunno}};{{yes}}[99];{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};{{no}};{{no}};
RetroShare;{{yes}};{{Active}};{{yes}}[102];{{yes}};{{n/a}};{{n/a}};{{n/a}};;;;{{no}};{{yes}}[87];{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{no}};{{no}};{{dunno}};{{dunno}};{{yes}}[87];{{yes}};{{yes}};{{yes}};{{optional}};{{optional}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};
Ring;{{yes}}[103];{{Active}};{{yes}}[102];{{yes}};;;;;;{{bad|Stored}}[104];{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Ricochet;{{yes}};{{Active}};{{Yes}};{{yes}};{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{n/a}};{{no}};{{no}}[105];{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}}[105];{{no}}[105];No groupchat;{{no}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{no}}[105];{{no}};{{no}};
