Client;Pop-up;Tray notification;Browser plugin;E-mail;"newspaper"-like;Media aggregator;Notes;Downloadable attachments;
Akregator;{{yes}};{{yes}};{{yes}} (integration with konqueror);{{yes}};{{dunno}};{{yes}};KDE;{{dunno}};
Amarok;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};KDE;{{dunno}};
AOL Explorer;{{dunno}};{{dunno}};{{n/a}};{{dunno}};{{dunno}};{{dunno}};Discontinued; Feed support is available in Internet Explorer 7;{{dunno}};
Avant;{{dunno}};{{dunno}};{{n/a}};{{dunno}};{{dunno}};{{dunno}};Feed support is available in Internet Explorer 7;{{dunno}};
Awasu;{{yes}};{{yes}};{{n/a}};{{yes}};{{yes}};{{yes}};Supports user-written plugins.;{{yes}};
BlogBridge;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;{{dunno}};
Canto;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};Ncurses/console based reader;{{dunno}};
Claws Mail;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};RSSyl plugin needed;{{dunno}};
CommaFeed;{{dunno}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{dunno}};Web browser;{{dunno}};
Cooliris;{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};Web browser plugin;{{dunno}};
Feed Viewer;{{no}};{{no}};{{n/a}};{{no}};{{yes}};{{yes}};;{{no}};
FeedDemon;{{dunno}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};Discontinued;{{dunno}};
Feedreader;{{yes}};{{no}};{{no}};{{dunno}};{{yes}};{{dunno}};;{{dunno}};
Flock;{{dunno}};{{dunno}};{{n/a}};{{dunno}};{{dunno}};{{yes}};Discontinued;{{dunno}};
Gnus;{{no|Add-on}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};Emacs-based mail and news client;{{dunno}};
IBM Lotus Notes;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};Studio Blog Reader is one RSS reader application for IBM Lotus Notes; Notes version 8.x introduced a native RSS reader;{{dunno}};
Internet Explorer;{{dunno}};{{dunno}};{{n/a}};{{dunno}};{{yes}};{{dunno}};Feed support is available in Internet Explorer 7;{{dunno}};
iTunes;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};;{{dunno}};
Juice;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};Designed as Podcast aggregator;{{dunno}};
K-Meleon;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};Web browser;{{dunno}};
Kazehakase;{{dunno}};{{dunno}};{{n/a}};{{dunno}};{{dunno}};{{dunno}};Web browser;{{dunno}};
Liferea;{{yes}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;{{dunno}};
Mail (OS X);{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};;{{dunno}};
Maxthon;{{dunno}};{{dunno}};{{n/a}};{{dunno}};{{dunno}};{{dunno}};Web browser;{{dunno}};
MediaMonkey;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};Media Player;{{dunno}};
Microsoft Office Outlook;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};Feed support is available in Microsoft Office Outlook 2007;{{dunno}};
Miro;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};Media Player;{{dunno}};
Mozilla Firefox;{{no|Add-on}};{{no|Add-on}};{{n/a}};{{dunno}};{{dunno}};{{dunno}};Web Browser;{{dunno}};
Mozilla Thunderbird;{{dunno}};{{no|Add-on}};{{dunno}};{{yes}};{{no}};{{dunno}};Mail Client;{{dunno}};
NetNewsWire;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;{{dunno}};
Netscape Browser;{{dunno}};{{dunno}};{{n/a}};{{dunno}};{{dunno}};{{dunno}};Discontinued; Web browser;{{dunno}};
Netscape Navigator 9;{{yes}};{{dunno}};{{n/a}};{{dunno}};{{dunno}};{{dunno}};Discontinued;{{dunno}};
NewsAccess;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;{{dunno}};
NewsBlur;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;{{dunno}};
NewsFire;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;{{dunno}};
OmniWeb;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};Part of the OmniWeb browser;{{dunno}};
Opera Mail;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{dunno}};;{{yes}};
Pegasus Mail;{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};Pegasus Mail can convert RSS feeds to e-mails via free add-ons;{{dunno}};
Rhythmbox;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};Media Player;{{dunno}};
RSS Bandit;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};.NET Framework based;{{dunno}};
RSSOwl;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};no longer support for Google Reader synchronization since version 2.2.0;{{yes}};
Safari;{{dunno}};{{dunno}};{{n/a}};{{dunno}};{{yes}};{{dunno}};Web Browser;{{dunno}};
Sage;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};a Firefox extension;{{dunno}};
SeaMonkey Mail & Newsgroups;{{dunno}};{{dunno}};{{n/a}};{{yes}};{{dunno}};{{dunno}};Part of the SeaMonkey Internet suite;{{dunno}};
Songbird;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};Media Player;{{dunno}};
Shiira;{{dunno}};{{dunno}};{{n/a}};{{dunno}};{{dunno}};{{dunno}};Web browser;{{dunno}};
Sleipnir;{{dunno}};{{dunno}};{{n/a}};{{dunno}};{{dunno}};{{dunno}};Feed support is available in Internet Explorer 7;{{dunno}};
The Bat!;{{dunno}};{{dunno}};{{dunno}};{{yes}};{{no}};{{no}};Mail client; rss2mail or rss2pop3 plugin needed for versions prior to 6.4; newer versions support RSS natively;{{dunno}};
The Old Reader;{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};;{{dunno}};
Winamp;{{no}};{{dunno}};{{no}};{{no}};{{no}};{{yes}};Media Player;{{dunno}};
Windows Live Mail;{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};;{{dunno}};
Zimbra;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};Groupware suite;{{dunno}};
Zune;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};Media player;{{dunno}};
Client;Pop-up;Tray notification;Browser plugin;E-mail;"newspaper"-like;Media aggregator;Notes;Downloadable attachments;
