IRC daemon;Modularity;Remote includes;IPv6;Client SSL;SSL linking;Zip linking;Hostmasking, cloaking;Services integration (built-in services);LDAP authentication;IRCX support;SASL support;SASL EXTERNAL support;Server protocol;
Bahamut;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|TS5 with extensions}};
bIRCd;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|RFC 1459 and TSpre8}};
beware ircd;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|P10}};
Charybdis;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes|TS6 with extensions}};
ConferenceRoom;{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes|Proprietary, binary}};
FoxEye ircd;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|RFC2813 with extensions, split-free network}};
InspIRCd;{{yes}}[66];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial}};{{yes}};{{partial}};{{yes}};{{yes}};{{yes|custom[67]}};
IRCD;{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|RFC 2813 with IDs}};
IRCD-Hybrid;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|TS6}};
ircd-ratbox;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|TS6}};
ircu;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|P10}};
ithildin;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes|Module-dependent}};
kike;{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
miniircd;{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Nefarious IRCu;{{no}};{{no}};{{yes|2.0+}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes|2.0+}};{{yes|2.0+}};{{yes|P10 with extensions}};
ngIRCd;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|RFC 2813}};
OfficeIRC Server;{{Yes}};{{No}};{{Yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{yes|Compatible with DreamForge and UnrealIRCd}};
PleXusIRCd;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes|TS5/TS6}};
pureIRCd;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
RockIRCd;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
RubIRCd;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{partial}};{{no}};{{no}};{{no}};{{no}};{{yes|TS5 with extensions}};
ShadowIRCd;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes|TS6 with extensions}};
snircd;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|P10 with extensions}};
solid-ircd;{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|TS5 with extensions}};
Synchronet IRCd;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|TS5 with extensions}};
UnrealIRCd;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes|Module}};{{no}};{{yes}};{{yes}};{{yes|DreamForge/TS5 with extensions}};
WeIRCd;{{partial}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes|Yes (module)}};{{no}};{{no}};{{no}};{{no}};{{no}};
