Name;Founded year;Latest stable version;Release year;License;Online;Windows;Mac OS X;Linux;BSD;Programming language;SDK?;Languages;Fonts;Output Formats;Notes;
Nicomsoft OCR SDK;1999;5.5;2015;{{proprietary}};{{no}};{{yes}};{{no}};{{yes}};{{no}};C#, VB.NET, C++, Delphi, Java;{{yes}};25+[16];{{dunno}};Searchable PDF, Text, RTF;C#, VB.NET, C++, Delphi, Java OCR tool for Windows and Linux.[17];
AnyDoc Software;1989;{{dunno}};{{dunno}};{{proprietary}};{{no}};{{yes}};{{no}};{{no}};{{no}};VBScript;{{dunno}};{{dunno}};{{dunno}};;Works with structured, semi-structured, and unstructured documents.;
LEADTOOLS[18];1990[19];19.0;2014;{{proprietary}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};C/C++, .NET, Objective-C, Java, JavaScript;{{yes}};56[20];Any printed font;PDF, PDF/A, DOC, DOCX, XLS, XPS, RTF, HTML, ANSI Text, Unicode Text, CSV[21];Supports Latin, Asian, Arabic, and MICR character sets.[18] For full page, zonal, and form image processing. Includes OCR, barcode, OMR and forms recognition.[22] ICR (handwritten text recognition) is supported.[23];
CuneiForm;1996;1.1;2011-04-19;{{free|BSD variant}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};C/C++;{{yes}};28;Any printed font;HTML, hOCR, native, RTF, TeX, TXT[24];Enterprise-class system, can save text formatting and recognizes complicated tables of any structure;
OCR.space;2015;3.02;2017;{{free|GPL}};{{yes}};{{yes}};{{no}};{{no}};{{no}};C#;{{yes}};23;Any printed font;TXT;Windows desktop software, Windows Store application and online web app - converts scanned documents to editable text documents using OCR.;
SimpleOCR;2002;3.5;2008;{{proprietary}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;;
Dynamsoft OCR SDK;2003;8.2;2012;{{proprietary}};{{yes}};{{yes}};{{No}};{{No}};{{No}};C/C++;{{yes}};40+[25];{{dunno}};PDF, TXT;;
OmniPage;1970s;19.2;2015;{{proprietary}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};C/C++, C#[26];{{yes}};125[27];Machine and handprinted fonts;DOC/DOCX XLS/XLSX PPTX RTF PDF PDF/A Searchable PDF HTML Text XML ePUB MP3;Product of Nuance Communications;
Microsoft Office OneNote 2007;2011;{{dunno}};2007;{{proprietary}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;;
FreeOCR;{{dunno}};4.2;August 2012;{{proprietary}};{{No}};{{Yes}};{{No}};{{No}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};;[28];
