Audio player;Lossy compression;Lossless compression;
MP3;WMA;RealAudio;Vorbis;Musepack;AAC;Dolby AC-3;VQF;Opus;APE;FLAC;ALAC;SHN;WV;WMA L;
AIMP;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[17];{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
Amarok[18][19][20];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Audacious;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}}[21];{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};
Audion;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};
Banshee;{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
cmus;{{yes}};{{yes}}[21];{{no}};{{yes}};{{yes}};{{yes}};{{yes}}[21];{{dunno}};{{yes}}[22];{{yes}}[21];{{yes}};{{yes}}[21];{{yes}}[21];{{yes}};{{dunno}};
Cog;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Exaile;{{yes}}[23];{{yes}}[23];{{yes}}[23];{{yes}}[23];{{yes}}[23];{{yes}}[23];{{yes}}[23];{{dunno}};{{yes}};{{yes}}[23];{{yes}}[23];{{yes}}[23];{{yes}}[23];{{yes}}[23];{{dunno}};
foobar2000;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{partial}}[7];{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Groove Music;{{Yes}};{{Yes}};{{No}};{{No}};;{{Yes}};{{Yes}};;;;{{Yes}};;;;;
JRiver Media Center;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
JuK;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{dunno}};
Media Jukebox;{{yes}}[24];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
MediaMonkey;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{partial}}[25];{{partial}}[25];{{dunno}};{{no}};{{yes}};{{yes}};{{yes}};{{partial}}[7];{{partial}}[7];{{dunno}};
