Feature;Android;iOS;Windows 10 Mobile;BlackBerry 10;Tizen;Sailfish OS;Ubuntu Touch;
Audio playback;AAC LC/LTP 3GPP, HE-AACv1 (AAC+), HE-AACv2 (enhanced AAC+) AMR-NB, AMR-WB, MP3, MIDI (Type 0 and 1, DLS versions 1 and 2), Ogg Vorbis, PCM/WAVE, FLAC, WAVE, Opus[330];AAC, protected AAC (from iTunes Store), HE-AAC, MP3, MP3 VBR, Audible (formats 2, 3, 4, Audible Enhanced Audio, AAX, and AAX+), Apple Lossless, AIFF, WAV[331];MP3, WMA Std 9.2, WMA Pro, FLAC, AMR-NB, AAC-LC, AAC+, eAAC+[332];MP3, FLAC, AAC, AAC+, eAAC+, WAV, WMA pro, AMR-NB, MIDI, AWB, M4A, MKA, OGG[333];AAC, AAC+, eAAC+, AMR-NB, AMR-WB, MP3, Vorbis, WAV[334];MP3, FLAC, AAC, eAAC, eAAC+, ALAC, AC3, DTS, Opus, Vorbis;?;
Video playback;H.263, H.264 (up to Baseline Profile), H.265 HEVC, MPEG-4 SP, DivX, XviD, VP8, VP9[330] (WMV on 3rd party software like VLC media player);H.264 (up to High Profile), MPEG-4, M-JPEG[331];H.263, H.264, WMV, MPEG4, MPEG4 @ HD 720p 30fps, DivX, XviD[335];MP4, WMV, H.263, H.264, DivX, WMV, XviD, 3GGP, 3GP2, ASF, AVI, F4V, M4V, MKV, MOV, MPEG4, MPEG-2[333];H.263, H.264, MPEG-4 Part 2[334];MPEG-4, H264, H263,[336] although audio in recorded videos is out of sync[337];?;
Wired video out;{{Yes|4K on 6+}}[338];{{Yes|Up to 1080p via HDMI}}[339] or VGA,[340] 576p/480p via component[341] or composite;[342];{{Yes|8.1+}} USB[343];{{Yes|10+}} 1080p via microHDMI,[344] SlimPort (BlackBerry Passport)[345];{{No}};{{No}}[346];{{Yes}};
Wired digital audio output;{{Yes|5+}} USB Audio[347];{{Yes|7+: USB Audio}}[348];{{Yes|10+: USB Audio on USB-C devices}}[349];{{Yes|}} USB Audio;{{No}};{{No}};{{Yes}};
Wireless video/audio streaming to set top boxes/TVs/speakers;{{Yes|4.2+}} Miracast,[350] but DLNA[351] only available on selected devices;{{Yes|AirPlay}}[352];{{Yes|8.1+ Miracast}} on some devices[353];{{Yes|10+}} DLNA,[354] 10.2+ Miracast[355] on some devices[356];{{Yes|DLNA}}[357];?;{{Yes}};
Media player on-device playlist creation;{{Yes}}[358];{{Yes}}[74];{{Yes}}[359];{{Yes}};?;{{Yes}};{{Yes}};
Media player video scrubbing;{{Yes}};{{Yes}};{{Yes|7.10.7720.0+}}[360];?;?;?;?;
Media player audio scrubbing;{{Yes}};{{Yes}};{{Yes|8.1+[361]}};?;?;?;?;
Media player fine scrubbing;{{No2}} No,[362] 3rd party software like VLC media player, basic fine scrubbing removed on 4+[363];{{Yes}}[364];{{No}};?;?;?;?;
Media player double speed playing;{{Yes|6+}}[365];{{Okay|Only Podcasts}}[366];{{Okay|8.1+ Only Podcasts}}[367];?;?;?;?;
